0443,3.9158
0198,3.0363
0393,1.4596
0317,2.3699
0203,2.0754
0321,2.9667
0385,1.6032
0149,3.5145
0123,3.2473
0261,2.091
0511,3.7979
0115,3.3771
0327,2.3172
0337,1.8108
0488,3.5358
0259,2.5432
0274,2.7818
0498,4.2025
0424,2.0942
0329,2.3127
0020,4.3305
0373,2.3485
0519,4.4859
0286,2.5524
0129,3.801
0500,3.7914
0187,3.2771
0485,3.8958
0503,4.1602
0512,2.8795
0490,3.2133
0456,4.0266
0419,2.5428
0040,3.8297
0342,2.507
0415,2.3566
0284,2.41
0441,2.1953
0117,3.8109
0266,2.2068
0517,3.8068
0383,1.6601
0104,2.8302
0407,1.9006
0075,4.8979
0111,3.0375
0452,2.8524
0172,3.4064
0430,2.4647
0432,2.267
0494,3.6282
0476,4.178
0063,4.426
0124,3.0774
0023,4.6744
0375,2.5882
0470,4.3976
0497,3.3088
0388,1.7903
0204,2.1127
0283,2.84
0215,2.4381
0043,3.5371
0165,2.0749
0323,2.9814
0290,2.7815
0418,2.2592
0378,2.1543
0412,1.8145
0185,2.8624
0033,4.5794
0167,3.4723
0532,3.4281
0102,3.5185
0448,4.3258
0309,3.1261
0244,2.7909
0280,2.9277
0177,3.4408
0353,1.8944
0479,3.9964
0234,2.9611
0406,1.8769
0062,4.3416
0409,1.9956
0436,1.8006
0533,3.475
0429,2.3894
0238,3.1833
0491,3.368
0041,3.8145
0216,2.3272
0308,3.1203
0219,2.3461
0364,1.9249
0004,4.6666
0502,3.4683
0174,2.1817
0438,2.3536
0501,3.5384
0142,2.0343
0360,2.4853
0396,2.5242
0295,2.5763
0247,3.0853
0252,2.866
0098,2.8063
0200,3.2967
0031,4.3753
0175,2.97
0184,2.6892
0107,3.5372
0294,2.9518
0492,3.2677
0356,2.4515
0506,2.6688
0442,2.3819
0208,3.007
0331,2.0583
0281,2.5268
0235,3.1186
0229,3.0726
0464,4.2676
0110,2.922
0140,3.524
0112,3.2108
0081,4.3571
0276,1.5009
0222,3.2248
0078,4.7389
0384,2.1207
0132,2.9188
0060,5.0916
0270,1.8606
0138,2.8878
0330,2.3649
0170,3.3691
0367,2.3156
0250,2.2149
0071,3.7949
0257,2.8048
0065,4.3593
0278,2.6675
0465,4.214
0012,4.6503
0397,1.3701
0454,3.7966
0316,2.1267
0404,1.9062
0255,1.7183
0482,3.961
0054,4.6729
0320,3.0315
0002,4.1048
0042,3.7372
0120,3.4573
0171,3.1068
0161,3.5907
0273,2.6041
0480,3.6679
0116,3.2338
0524,4.2383
0207,2.7888
0051,4.1513
0352,1.8623
0100,3.6961
0180,3.6907
0275,3.0436
0487,3.5558
0466,3.7624
0535,3.4761
0336,1.8906
0126,3.7724
0121,3.5945
0463,3.9246
0499,3.2593
0125,3.718
0089,4.2206
0315,2.9176
